"Ordered before 15:00 is delivered the next working day.","Voor 15:00 besteld is eerst volgende werkdag geleverd."
"Handcrafted for you","Handgemaakt voor jou",
"Handmade for you","Handgemaakt voor jou",
"This product is fully customizable—place your pre-order now and secure yourself a unique item.","Dit product is volledig customizable - bestel nu je pre-order en verzeker jezelf van een uniek exemplaar.",
"Sustainable Certified Wood","Duurzaam gecertificeerd hout",
"Made for Generations","Gemaakt voor generaties",
"Craftsmanship from our own workshop","Ambacht uit Eigen Werkplaats",
"Fast & Careful Delivery","Snelle en zorgvuldige levering",
"Our furniture is crafted from sustainably sourced wood, respecting nature and future generations.","Onze meubels zijn gemaakt van duurzaam geproduceerd hout, met respect voor de natuur en toekomstige generaties.",
"Built to last - timeless craftsmanship and durable materials ensure longevity.","Gebouwd om lang mee te gaan - tijdloos vakmanschap en duurzame materialen zorgen voor een lange levensduur.",
"Designed and made by skilled artisans in our own workshop for authentic quality.","Ontworpen en vervaardigd door bekwame ambachtslieden in ons eigen atelier voor authentieke kwaliteit.",
"Order today, receive it quickly. Carefully packaged and delivered directly from our workshop.","Bestel vandaag nog en ontvang uw bestelling snel. Zorgvuldig verpakt en rechtstreeks vanuit onze werkplaats geleverd.",
"Free delivery NL & BE","Gratis levering NL & BE",
"2 year warranty","2 jaar garantie",
"30-day return policy","30 dagen retourbeleid",
"FSC certified wood","FSC gecertificeerd hout",
"Sustainable wood","Duurzaam hout",
"Pre-order","Vooraf bestellen",
"Available immediately","Direct leverbaar",
"Available for quick delivery","Snel leverbaar",
"Handmade to order","Handgemaakt op bestelling",
"within 2-6 weeks","binnen 2-6 weken",
"Pre-order: delivery within 12 weeks","Pre-order: levering binnen 12 weken",
"Expected in stock on:","Verwacht op voorraad op:",
"This product is in stock and shipped quickly via our trusted couriers. You will receive a tracking link by email as soon as your order is dispatched. The expected delivery time is %1. You can easily adjust the delivery date through the tracking mail if needed.","Dit product is op voorraad en wordt snel verzonden via onze vertrouwde koeriersdiensten. Zodra uw bestelling is verzonden, ontvangt u een trackinglink per e-mail. De verwachte levertijd is %1. Indien nodig kunt u de leverdatum eenvoudig aanpassen via de trackingmail.",
"This product requires a little more handling and transport care before delivery. Our logistics team carefully prepares it for shipment, which usually takes %1. You will receive tracking details once shipped, including options to adjust your delivery time.","Dit product vereist iets meer zorg bij de verwerking en het transport vóór levering. Ons logistieke team bereidt het zorgvuldig voor op verzending, wat doorgaans %1 duurt. Zodra het product is verzonden, ontvangt u trackinggegevens, inclusief opties om uw levertijd aan te passen.",
"Your furniture is custom-made by our skilled craftsmen, created especially for you. The production process starts right after you order. This means delivery takes about %1. You will receive clear updates by email, and transport will be handled with extra care and scheduling options to suit you.","Uw meubels worden op maat gemaakt door onze vakbekwame ambachtslieden, speciaal voor u ontworpen. Het productieproces begint direct nadat u uw bestelling heeft geplaatst. Dit betekent dat de levering ongeveer %1 duurt. U ontvangt duidelijke updates per e-mail en het transport wordt met extra zorg en volgens een op u afgestemd schema uitgevoerd.",
"This product is currently in production or being shipped from our workshop in Indonesia. The expected delivery time is between 2 and 6 weeks. As soon as it arrives at our warehouse, we will send you an update with a personal delivery schedule. Transparency guaranteed, every step of the way.","Dit product wordt momenteel geproduceerd of verzonden vanuit onze werkplaats in Indonesië. De verwachte levertijd is tussen 2 en 6 weken. Zodra het product in ons magazijn aankomt, sturen we u een update met een persoonlijk leveringsschema. Transparantie gegarandeerd, bij elke stap.",
"This item is part of our pre-order collection and is being handmade by our craftsmen abroad. Delivery usually takes up to %1. By pre-ordering now, you secure your piece from the next shipment. You will receive regular updates on production and shipping progress.","Dit artikel maakt deel uit van onze pre-ordercollectie en wordt met de hand gemaakt door onze ambachtslieden in het buitenland. De levering duurt doorgaans maximaal %1. Door nu te pre-orderen, verzekert u zich van uw exemplaar uit de volgende zending. U ontvangt regelmatig updates over de voortgang van de productie en verzending.",
"This product is expected back in stock on %1. If you order now, you will receive a personal update once it's ready, with flexible delivery scheduling via your tracking email.","Dit product is naar verwachting weer op voorraad op %1. Als u nu bestelt, ontvangt u een persoonlijke update zodra het product klaar is, met flexibele leveringsopties via uw tracking-e-mail.",
"This product is expected back in stock on %1. If you order now, delivery will start around %2. You will receive a personal update once it's ready, with flexible delivery scheduling via your tracking email.","Dit product is naar verwachting weer op voorraad op %1. Als u nu bestelt, wordt de levering rond %2 gestart. U ontvangt een persoonlijke update zodra het product klaar is, met flexibele leveringsplanning via uw tracking-e-mail.",
"3 payments of","3 betalingen van",
"at 0% interest with Klarna","tegen 0% rente met Klarna",
"More information","Meer informatie",
"Product Attachments","Productbijlagen",
"Selected by Techtic · Personally inspected in Tolbert · Delivered quickly to your home","Geselecteerd door Techtic · Persoonlijk gecontroleerd in Tolbert · Snel bij jou thuis",
"Prefer to see it first? Visit our showroom and explore the Tower Living collection","Wilt u het eerst bekijken? Bezoek onze showroom en ontdek de Tower Living-collectie.",
"Visit our showroom in Tolbert – experience real Techtic craftsmanship.","Bezoek onze showroom in Tolbert – ervaar het echte vakmanschap van Techtic.",
"Visit the Showroom","Bezoek de showroom",
"Handmade","Handgemaakt",
"FSC® Teak","FSC® Teak",
"FSC-certified teak wood","FSC-gecertificeerd teakhout",
"Secure payment","Veilig betalen",
"Receive our new collections and offers","Ontvang onze nieuwe collecties en aanbiedingen",
"Sign up","Aanmelden",
"Weather-resistant teak","Weerbestendig teak",
"Suitable for every season","Geschikt voor elk seizoen",
"Quality","Kwaliteit",
"Value","Waarde",
"Price","Prijs",
Show,Toon,
"This product has been carefully selected and is available for immediate delivery. Comfort, quality, and craftsmanship guaranteed.","Dit product is zorgvuldig geselecteerd en is direct leverbaar. Comfort, kwaliteit en vakmanschap gegarandeerd."
"Promotional price valid until %1","Actieprijs geldig tot %1"
"Need help?","Hulp nodig?"
"Request a quote","Offerte Aanvragen"
"Installation service via","Montageservice via"
"Need help with assembly?","Hulp nodig bij montage?",
"Book a professional directly through Zoofy","Boek direct een vakman via Zoofy",
"How does it work?","Hoe werkt het?",
"Tick the service and complete your order.","Vink de service aan en rond je bestelling af.",
"You can arrange an appointment immediately at a time that suits you.","Je regelt direct een afspraak wanneer het jou uitkomt.",
"A screened professional from Zoofy will assemble your furniture.","Een gescreende vakman van Zoofy monteert je meubel.",
"No call-out charges!","Geen voorrijkosten!",
"Request Form","Aanvraagformulier"
"Your Name","Uw naam"
"Your Email","Uw e-mailadres"
"Send Request","Verzoek verzenden"
"Thank you! We have received your request and will contact you shortly.","Bedankt! We hebben je aanvraag ontvangen en nemen snel contact op."
"Delivery time upon agreement - Ordered especially for you","Levertijd in overleg - Speciaal voor u besteld"
"Customer","Klant"
"wants to order the following product:","wil het volgende product bestellen:"
"Please contact the customer.","Neem alstublieft contact op met de klant."
"Enter the size in cm (numbers only)","Vul de maat in cm in (alleen cijfers)"
"%1 is required","%1 is verplicht",
"%1 is a required field.","Controleer je gegevens: %1 is een verplicht veld."
"Tell us what you need here (e.g., non-standard sizes, recess mounting, tapered side).","Vertel ons hier wat je nodig hebt (bijv. afwijkende maten, nisbevestiging,verjongde zijde).",
"Delivery time:","Levertijd:",
"Smart Choice: Not in a hurry?","Slimme Keuze: Heb je geen haast?",
"Use discount code","Gebruik kortingscode",
"at checkout and receive immediately","in de checkout en ontvang direct",
"10% discount","10% korting",
"on this piece of furniture!","op dit meubel!",
"NEW","NIEUW",
"WATCH AT HOME","BEKIJK THUIS",
"Privacy Policy","Privacybeleid",
"Returns and Refunds","Retourzendingen en terugbetalingen",
"Proceed to checkout","Ga verder naar betalen"
"Invalid Form Key. Please refresh the page.", "Er ging technisch even iets mis. Ververs de pagina om verder te gaan."
"Not at home? Easily change the delivery time after ordering.","Niet thuis? Wijzig het levermoment eenvoudig na bestelling."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","E-mailadres en/of wachtwoord is onjuist. Probeer het nog eens, of vraag direct een nieuw wachtwoord aan."
"City is required.","Je bent vergeten je woonplaats in te vullen."
"Please note: Only %1 items left!","Let op: Nog slechts %1 items beschikbaar!"
"Secure checkout","Veilig afronden",
"Place an order","Bestelling plaatsen",
"Question?","Vraag?",
"Available from: %1","Leverbaar vanaf: %1",
"Craftsmanship since 2002","Vakmanschap sinds 2002",
"Free delivery NL & BE from €300","Gratis levering NL & BE v.a. €300",
"Showroom in Tolbert (Groningen)","Showroom in Tolbert (Groningen)",
"Order today, delivered on %s","Bestel vandaag, geleverd op %s",
"Order today, fast delivery","Bestel vandaag, snelle levering",
"Order now, receive your order on %1.","Bestel nu, ontvang je bestelling op %1.",
"Free shipping","Gratis verzending",
"+ €%1 shipping costs","+ €%1 verzendkosten",
"Shopping cart","Winkelwagen",
"Ask via WhatsApp","Vraag via WhatsApp",
"I have a question about the product: %s (SKU: %s)","Ik heb een vraag over het product: %s (SKU: %s)",
"or pay in 3 installments:","of betaal in 3 delen:"
"Need help? Contact the specialist","Hulp nodig? App de specialist",
"Production starts immediately","Productie start direct",
"View in 3D","Bekijk in 3D",
"View in AR","Bekijk in AR",
"Scan this QR code with your mobile device to view this product in augmented reality","Scan deze QR-code met uw mobiele apparaat om dit product in augmented reality te bekijken.",
"Handcrafted customization · Delivery time %1","Ambachtelijk maatwerk · Levertijd %1",
"Status: No waiting list. We start immediately.","Status: Geen wachtlijst. Wij beginnen direct.",
"Directly from our own workshop in Tolbert","Direct uit eigen werkplaats in Tolbert",
"While others wait for containers, our craftsmen start finishing your furniture immediately after your order. No mass storage, but personal craftsmanship.","Terwijl anderen wachten op containers, starten onze vakmensen direct na uw bestelling met de afwerking van uw meubel. Geen massa-opslag, maar persoonlijk vakmanschap.",
"Want to see it?","Wilt u het zien?",
"Visit our showroom and watch our furniture makers at work.","Kom langs in onze showroom en kijk direct mee met onze meubelmakers.",
"Need advice or have questions? Contact the specialist.","Twijfels of advies nodig? App de specialist.",
"View options","Bekijk opties",
"%0 of %1 products in cart displayed","%0 van %1 producten in winkelwagen weergegeven"
"Returns & Refunds","Retourneren en terugbetalingen"
"Privacy Policy","Privacybeleid"
"Techtic. All rights reserved","Techtic. Alle rechten voorbehouden"
"You can track your order status by creating an account.","U kunt de status van uw bestelling volgen door een account aan te maken."
"Thank you! We have received your order #%1.","Bedankt! We hebben je bestelling #%1 goed ontvangen."
"The previous active payment method is no longer available. To complete your order, please select a different payment option.","De vorige actieve betaalmethode is niet langer beschikbaar. Selecteer een andere betaaloptie om uw bestelling te voltooien."
"Your checkout information has been updated in the background. Please refresh the page to continue the checkout process in this window.","Uw afrekeningsgegevens zijn op de achtergrond bijgewerkt. Vernieuw de pagina om het afrekeningsproces in dit venster voort te zetten."
"Information has been updated","De informatie is bijgewerkt"
"Tax","w.v. BTW 21%"
"Craftsmanship from our own furniture factory","Vakmanschap uit eigen meubelfabriek",
"100% quality control by our craftsmen","100% Kwaliteitscontrole door onze vakmensen",
"Available immediately from stock","Direct leverbaar uit voorraad",
"30-day cooling-off period","30 Dagen bedenktijd",
"Average delivery time: 21 days","Gemiddelde levertijd: 21 dagen",
"Fully assembled","Volledig gemonteerd",
"Easy assembly","Eenvoudige montage",
"Siphon-friendly","Sifon-vriendelijk",
"Best sellers","Best verkocht",
"Newest products","Nieuwste producten",
"Order quickly, only %1 left in stock","Bestel snel, nog maar %1 op voorraad",
"Add to Quote","Liever een offerte? Vraag aan",
"Quote Summary","Offerteoverzicht",
"My Quote Cart","Mijn offerte-aanvraag",
"Checkout","Aanvraag afronden",
"Subtotal","Subtotaal",
"Shipping","Verzendkosten",
"Tax / VAT","BTW",
"Total","Totaal",
"Edit","Bewerken",
"Update","Aanpassen"
"Remove","Verwijderen",
"Quote is empty","De offerte is leeg",
"Trash","Prullenbak",
"Enter your details","Vul uw gegevens in",
"Remarks","Opmerkingen",
"Clear Quote","Offerte legen",
"Update Quote","Offerte bijwerken",
"Submit Quote","Offerte verzenden",
"Request Quote","Offerte aanvragen",
"Quote Cart","Uw offerteoverzicht",
"Quote Total","Offertetotaal",
"You must login or register to add items to your quote cart.","U moet inloggen of registreren om items aan uw offerte-aanvraag toe te voegen.",
"You added %1 to your quote cart.","U heeft %1 toegevoegd aan uw offerte-aanvraag.",
"Add Note","Notitie toevoegen",
"My Quotes","Mijn offertes"
"Cancel / Close","Annuleren / Sluiten"
"Approve","Goedkeuren"
"Convert To Order","Omzetten naar bestelling"
"Download PDF","PDF downloaden"
"Quote View","Offerte bekijken"
"Sales","Verkoop"
"Quotes","Offertes"
"You approved the quote.","U heeft de offerte goedgekeurd."
"You closed the quote.","U heeft de offerte gesloten."
"New Quote","Nieuwe offerte"
"Edit Quote","Offerte bewerken"
"You updated the quote.","U heeft de offerte bijgewerkt."
"You created the quote.","U heeft de offerte aangemaakt."
"Requested quote does not exist","De aangevraagde offerte bestaat niet."
"Something went wrong","Er is iets misgegaan"
"Out of stock","Niet op voorraad"
"Login for quote","Inloggen voor offerte"
"Submitted Quote","Ingediende offerte"
"Approved Quote","Goedgekeurde offerte"
"Modified Quote","Gewijzigde offerte"
"Canceled Quote","Geannuleerde offerte"
"Expired Quote","Verlopen offerte"
"Quote Number","Offertenummer"
"Quote Status","Offertestatus"
"Quote Date","Offertedatum"
"Quote Expiry Date","Vervaldatum offerte"
"Quote Items","Offerteproducten"
"Quote Information","Offerte-informatie"
"Quote Edit","Offerte bewerken"
"Quote History","Offertegeschiedenis"
"Quote Currency:","Offertevaluta:"
"Quote Comments","Offerteopmerkingen"
"Quote & Account Information","Offerte- en accountinformatie"
"Quote Date (%1)","Offertedatum (%1)"
"Reminder Date","Herinneringsdatum"
"Clone as Quote","Klonen als offerte"
"Move to Cart","Verplaatsen naar winkelwagen"
"Move to Shopping Cart","Verplaatsen naar winkelwagen"
"Move to Checkout","Ga naar afrekenen"
"You have placed no quotes.","U heeft geen offertes geplaatst."
"There are no quote requests.","Er zijn geen offerteaanvragen."
"Request a Quote","Offerte aanvragen"
"My Quote","Mijn offerte"
"Submitted Quote","Ingediende offerte"
"Email alert for new quote requests","E-mailmelding voor nieuwe offerteaanvragen"
"Email alert for approved quote requests","E-mailmelding voor goedgekeurde offertes"
"Email alert for canceled quote requests","E-mailmelding voor geannuleerde offertes"
"Email alert for modified quote requests","E-mailmelding voor gewijzigde offertes"
"Email alert for expired quote requests","E-mailmelding voor verlopen offertes"
"Email alert for submitted quote request","E-mailmelding voor ingediende offerte"
"Email alert for reminder quote requests","E-mailmelding voor herinnering offerte"
"Quote request has been received!","Uw offerteaanvraag is ontvangen!"
"Quote Cart has been disabled.","Offerte-aanvraag is uitgeschakeld."
"Empty Quote Cart can not be submitted.","Een lege offerte kan niet worden verzonden."
"Quote Cart has invalid status.","De offerte heeft een ongeldige status."
"The quote can't be created.","De offerte kan niet worden aangemaakt."
"Quote with ID %1 not approved","Offerte met ID %1 is niet goedgekeurd"
"You don’t have permission to access the quote with ID %1.","U heeft geen toegang tot de offerte met ID %1."
"Amasty Request a Quote","Amasty Offerteaanvraag",
"Login","Inloggen",
"You already have an account with us. Please sign in.","U heeft al een account bij ons. Log alstublieft in.",
"Could not find quote item with id: %1.","Kan item met id niet vinden: %1.",
"You have no items in your quote cart.","Je hebt geen artikelen in je offertewagen.",
"Your quote request has been received!","Uw offerteaanvraag is ontvangen!",
"Thank you for your interest!","Hartelijk dank voor uw interesse!",
"Your Quote Request # is:","Uw offerteaanvraag # is:",
"Your Quote Request # is: %1.","Uw offerteaanvraag # is: %1.",
"Your Quote Request # is: <span>%1</span>.","Uw offerteaanvraag # is: <span>%1</span>.",
"We'll email you a Quote Request confirmation email with a link to track progress.","We sturen u een bevestigingsmail met een link om de voortgang te volgen.",
"Quote #","Citaat #",
"Date","Datum",
"View","Bekijken",
"Requested Price","Gevraagde prijs",
"Approved Price","Goedgekeurde prijs",
" Submitted Date:"," Ingediende datum:",
"Quote # %1","Citaat # %1",
"Submitted Quote","Ingediende offerte",
"Approved Quote","Goedgekeurde offerte",
"Modified Quote","Gewijzigde offerte",
"Canceled Quote","Geannuleerde offerte",
"Expired Quote","Verlopen offerte",
"We'll send notifications about the quote to the inserted email address. Please note that if you want to track a quote status on the website you have to <a href=""%1"">register</a> before submitting the quote.","We sturen meldingen over de offerte naar het opgegeven e-mailadres. Houd er rekening mee dat als u de status van een offerte op de website wilt volgen, u zich moet <a href=""%1“”>registreren</a> voordat u de offerte indient.",
"View Product","Bekijk product",
"Plan Showroom Visit","Showroombezoek plannen",
"Craftsmanship and expertise, delivered throughout Europe","Ambacht en vakmanschap, geleverd door heel Europa",
"Happy with your new purchase? Let us know!","Blij met je nieuwe aankoop? Laat het horen!",
"What would you like us to call you?","Hoe mogen we je noemen?",
"Headline of your review","Koptekst van je review",
"What do you think of your new product?","Wat vind je van je nieuwe product?",
"Submit your review","Verstuur je review",
"Show All Photos","Alle foto's weergeven",
"Made in 21 days – no waiting list","Gemaakt in 21 dagen – geen wachtlijst",
"Configure Now","Configureer Nu",
"Not available","Niet beschikbaar",
"Total Look Price","Totaalprijs",
"Buy the entire look","Koop de hele look",
"Products in this look","Producten in deze look",
"There are currently no looks available in this category.","Er zijn momenteel geen looks beschikbaar in deze categorie.",
"View all looks","Bekijk alle looks",
"All","Alle",
"Pre Order","Vooruitbestellen",
"%1 units arriving %2 — shipped from our own production in Java","%1 artikelen onderweg %2 — verzonden vanuit onze eigen productie in Java",
"Last one arriving %1","Laatste exemplaar onderweg %1",
"12 weeks from Java","12 weken vanaf Java",
"Shipping soon; you will automatically receive a tracking number.","Wordt binnenkort verzonden, je ontvangt automatisch een track & trace.",
"Not available","Niet beschikbaar",
"Fully custom-made in our own workshop - lead time approx. 3 weeks.","Volledig op maat gemaakt in onze eigen werkplaats - levertijd ca. 3 weken.",
"%1 days left - reserve now","Nog %1 dagen - reserveer nu",
"Expected on","Verwacht op",
"Reserve now - Receive on the delivery date","Reserveer nu - Ontvang op de leveringsdatum",
"Only %1 items left - Hurry!","Nog maar %1 stuks op voorraad - Wees er snel bij!",
"Order & Receive","Bestellen & ontvangen",
